epoch,acc,auc,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
16,0.6666666865348816,0.7058459520339966,0.6071605086326599,0.6285195350646973,0.805587887763977,0.6958333253860474,0.7759111523628235,0.5678229928016663,0.639143705368042,0.8818565607070923
17,0.6805636882781982,0.7189879417419434,0.594318687915802,0.6392989158630371,0.8191489577293396,0.6854166388511658,0.7936488389968872,0.5719847083091736,0.6218487620353699,0.9327731132507324
18,0.6682325601577759,0.7087908983230591,0.5996365547180176,0.6219512224197388,0.8449704051017761,0.668749988079071,0.7850368618965149,0.5873035788536072,0.60326087474823,0.9446808695793152
19,0.6600117683410645,0.7110878825187683,0.6083819270133972,0.6229050159454346,0.7935943007469177,0.6666666865348816,0.7853261828422546,0.5901637673377991,0.6068601608276367,0.954356849193573
20,0.6717557311058044,0.725621223449707,0.5969164967536926,0.6303750872612,0.8163506984710693,0.6645833253860474,0.7969704866409302,0.592697262763977,0.6020671725273132,0.9708333611488342
21,0.6805636882781982,0.7178266644477844,0.5939872860908508,0.6406397223472595,0.8078292012214661,0.6645833253860474,0.7933878302574158,0.5871449112892151,0.6005290746688843,0.9578059315681458
22,0.6887844800949097,0.7343079447746277,0.5866395831108093,0.6453965306282043,0.833922266960144,0.6729166507720947,0.7858879566192627,0.5827264785766602,0.6065573692321777,0.9446808695793152
23,0.6840869188308716,0.7244004011154175,0.5912379622459412,0.6419981718063354,0.8213017582893372,0.6916666626930237,0.7856274247169495,0.5730008482933044,0.6264045238494873,0.9369747638702393
24,0.6858484745025635,0.7307438254356384,0.5836734771728516,0.6404391527175903,0.8313539028167725,0.7229166626930237,0.782604992389679,0.5604056715965271,0.7063491940498352,0.7510548233985901
25,0.6699941158294678,0.711384117603302,0.6037068367004395,0.6239928603172302,0.8307508826255798,0.6791666746139526,0.7874192595481873,0.5822162628173828,0.6111111044883728,0.94017094373703
26,0.6793892979621887,0.7299551367759705,0.5868462324142456,0.6371115446090698,0.8238770961761475,0.6479166746139526,0.7734715938568115,0.608161985874176,0.5854271650314331,0.9831223487854004
27,0.6870229244232178,0.7212456464767456,0.5930825471878052,0.6364428997039795,0.8628841638565063,0.6895833611488342,0.7819190621376038,0.569844663143158,0.6257143020629883,0.9240506291389465
28,0.6600117683410645,0.7136783599853516,0.6021707653999329,0.6170026063919067,0.8321512937545776,0.6645833253860474,0.780503511428833,0.5865410566329956,0.6042216420173645,0.9541666507720947
29,0.6676453351974487,0.7163063287734985,0.5982465744018555,0.6209322810173035,0.8394768238067627,0.6833333373069763,0.7852802276611328,0.5754737854003906,0.6181318759918213,0.9453781247138977
30,0.6652965545654297,0.7174800634384155,0.5956917405128479,0.6190885901451111,0.8500590324401855,0.6854166388511658,0.7879887223243713,0.5758768916130066,0.6246575117111206,0.942148745059967
31,0.6893717050552368,0.7407045960426331,0.5838897824287415,0.6470037698745728,0.8196915984153748,0.6979166865348816,0.7846451997756958,0.555871307849884,0.6543624401092529,0.8227847814559937
32,0.6958308815956116,0.7436599731445312,0.5808642506599426,0.6546489596366882,0.8175355195999146,0.6833333373069763,0.7801306247711182,0.5719281435012817,0.620396614074707,0.9240506291389465
33,0.6970052719116211,0.7472234964370728,0.5749357342720032,0.6510559916496277,0.8390532732009888,0.6416666507720947,0.7697643637657166,0.6140032410621643,0.5810473561286926,0.9831223487854004
34,0.675278902053833,0.7271504402160645,0.5951218605041504,0.6330274939537048,0.8185053467750549,0.6916666626930237,0.789093554019928,0.5660995244979858,0.6288951635360718,0.9288703203201294
35,0.6735173463821411,0.7261387705802917,0.5961498618125916,0.6333954930305481,0.8064132928848267,0.6916666626930237,0.788465142250061,0.5712659955024719,0.6289855241775513,0.9156118035316467
36,0.6852613091468811,0.7298797369003296,0.5876490473747253,0.6395242214202881,0.831153392791748,0.6854166388511658,0.7909836173057556,0.5621844530105591,0.6239067316055298,0.9067796468734741
37,0.684674084186554,0.7284473776817322,0.5889286398887634,0.6384683847427368,0.8455188870429993,0.6854166388511658,0.7942733764648438,0.5723464488983154,0.6201117038726807,0.9367088675498962
38,0.6911333203315735,0.7417466044425964,0.5858137607574463,0.6463527083396912,0.8303677439689636,0.6854166388511658,0.7848920226097107,0.5698733925819397,0.625,0.9205020666122437
39,0.7005285024642944,0.7371381521224976,0.5734694004058838,0.654170572757721,0.8319427967071533,0.6791666746139526,0.773522138595581,0.5770338177680969,0.6138888597488403,0.9364407062530518
40,0.694656491279602,0.7562493085861206,0.5751230120658875,0.6516007781028748,0.8218527436256409,0.675000011920929,0.7768489718437195,0.5820475816726685,0.6117021441459656,0.9583333134651184
41,0.6676453351974487,0.7387418746948242,0.5872971415519714,0.6246672868728638,0.8311688303947449,0.6520833373069763,0.7666735649108887,0.601358950138092,0.5888324975967407,0.9789029359817505
